idx,size,true_h,exact_h,noisy_h,err_exact,err_noisy
107,2,0.10228130907118073,0.10228130907118056,0.10227126400868072,-1.6653345369377348e-16,-1.0045062500005364e-05
108,2,0.038618084694932074,0.038618084694932074,0.038708166743130615,0.0,9.008204819854065e-05
109,2,0.0781619586116185,0.07816195861161838,0.07803765760215634,-1.1102230246251565e-16,-0.0001243010094621605
110,2,0.06256847867564898,0.06256847867564903,0.06265488627742533,5.551115123125783e-17,8.640760177634765e-05
111,2,-0.07610800966709473,-0.0761080096670947,-0.07605323206820098,2.7755575615628914e-17,5.4777598893746005e-05
112,2,-0.017054642895271605,-0.017054642895271577,-0.016951568919764844,2.7755575615628914e-17,0.00010307397550676084
113,2,-0.12318276331351474,-0.12318276331351471,-0.1232221342624111,2.7755575615628914e-17,-3.937094889636117e-05
114,2,-0.029182830794730937,-0.029182830794730955,-0.029264569261184047,-1.734723475976807e-17,-8.173846645311011e-05
115,2,0.05034353827508262,0.05034353827508264,0.05051256823113603,2.0816681711721685e-17,0.00016902995605341115
116,2,-0.03806839572373995,-0.03806839572374005,-0.03802665399595955,-1.0408340855860843e-16,4.1741727780396365e-05
117,2,-0.028744530908031907,-0.028744530908031907,-0.028728346397134914,0.0,1.6184510896993798e-05
118,2,0.014723957747014692,0.014723957747014712,0.014738448381368176,1.9081958235744878e-17,1.449063435348362e-05
119,2,0.03554492614183673,0.03554492614183669,0.035479511342366384,-3.469446951953614e-17,-6.541479947034384e-05
120,2,-0.016086456848260444,-0.016086456848260475,-0.016127756213021927,-3.122502256758253e-17,-4.129936476148302e-05
121,2,-0.011549135409273381,-0.011549135409273329,-0.011512994845704259,5.204170427930421e-17,3.61405635691224e-05
122,2,0.03652304355628137,0.03652304355628137,0.03658989389579473,0.0,6.685033951335517e-05
123,2,0.011469970685913544,0.011469970685913516,0.01147148304166567,-2.7755575615628914e-17,1.5123557521260628e-06
124,2,-0.012879823035787321,-0.012879823035787327,-0.013009221051284743,-5.204170427930421e-18,-0.0001293980154974221
125,2,0.014198868417781504,0.014198868417781462,0.014224737241488126,-4.163336342344337e-17,2.586882370662208e-05
126,2,0.0034366527069086246,0.003436652706908665,0.003430061742806683,4.0332320816460765e-17,-6.590964101941838e-06
127,2,0.011495895799677698,0.011495895799677618,0.011467055120629467,-7.979727989493313e-17,-2.8840679048231302e-05
128,2,0.09034945214836708,0.09034945214836687,0.09025455838469373,-2.0816681711721685e-16,-9.489376367334545e-05
129,2,-0.013779201996329416,-0.013779201996329411,-0.013710923317815994,5.204170427930421e-18,6.827867851342227e-05
130,2,-0.024368638140832375,-0.024368638140832337,-0.024259773969466936,3.8163916471489756e-17,0.00010886417136543938
131,2,0.06382109620780047,0.06382109620780042,0.06377813180425054,-4.163336342344337e-17,-4.296440354992215e-05
132,2,-0.03186022042481728,-0.03186022042481725,-0.03172570527733911,2.7755575615628914e-17,0.00013451514747817028
133,2,0.07764773670136854,0.0776477367013684,0.07772601605306198,-1.3877787807814457e-16,7.82793516934388e-05
134,2,-0.008767435546282294,-0.008767435546282303,-0.008820854656999222,-8.673617379884035e-18,-5.3419110716927676e-05
