n,t,observable,mean,std,median,q25,q75,n_realizations
10,136,M_gen,0.1100842123,0.03533745105,0.1001588402,0.08371730323,0.1156380393,10
10,138,M_gen,0.1112217192,0.03475817181,0.1028056285,0.08637355913,0.1154374439,10
10,140,M_gen,0.1112038237,0.03543493643,0.1015480451,0.08641275174,0.1173948116,10
10,142,M_gen,0.1106967148,0.03590452303,0.0966058767,0.0862075657,0.1186112178,10
10,144,M_gen,0.1116691678,0.03660778024,0.09942123004,0.08444331184,0.1190806782,10
10,146,M_gen,0.1110897358,0.03689740454,0.09921010647,0.08217800296,0.1211985525,10
10,148,M_gen,0.112044247,0.03713828941,0.1005047878,0.08411636144,0.1222788706,10
10,150,M_gen,0.1123716657,0.03792650704,0.09995721548,0.08349641899,0.1235942244,10
10,152,M_gen,0.1118243565,0.03813407415,0.09710993594,0.084496071,0.1231085262,10
10,154,M_gen,0.1121898297,0.03801674867,0.09759372928,0.08514664494,0.121656007,10
10,156,M_gen,0.1128077604,0.03791991026,0.09896851989,0.08506064004,0.1199993249,10
10,158,M_gen,0.1121648866,0.03946180526,0.0973046644,0.08380669582,0.1197482886,10
10,160,M_gen,0.1143168152,0.04021857887,0.09889788275,0.08514485124,0.1203916054,10
10,162,M_gen,0.1158412412,0.04028465636,0.100744805,0.08665865745,0.1212585323,10
10,164,M_gen,0.1169375909,0.04199893697,0.1008248386,0.08575938196,0.1255932695,10
10,166,M_gen,0.117029094,0.04379611817,0.09899445041,0.08436710154,0.1277246994,10
10,168,M_gen,0.1169774136,0.04473306411,0.09776177346,0.08482061419,0.1287345709,10
10,170,M_gen,0.1167474986,0.04495727814,0.0984782296,0.08635480871,0.1261988482,10
10,172,M_gen,0.1175520172,0.04450678294,0.1010901465,0.08517630082,0.1271684476,10
10,174,M_gen,0.1177970623,0.04526882904,0.1003880023,0.08519140722,0.1304232799,10
10,176,M_gen,0.1193668307,0.04537641473,0.1025522972,0.08878458036,0.1314887,10
10,178,M_gen,0.1195033798,0.04685230397,0.1041177553,0.08482780406,0.1335248389,10
10,180,M_gen,0.120443358,0.04722117107,0.1044803221,0.08709380285,0.1348920075,10
10,182,M_gen,0.1205624855,0.04758675994,0.1070166137,0.08562861414,0.1340562186,10
10,184,M_gen,0.1209229621,0.04818684257,0.1060868713,0.0858303592,0.1321000238,10
