n,t,observable,mean,std,median,q25,q75,n_realizations
7,42,autocorrelation,0.2642896631,0.08915470661,0.2378259542,0.2025463867,0.2897158538,30
7,44,autocorrelation,0.2636628321,0.09626912591,0.2316439604,0.2019328209,0.2985456931,30
7,46,autocorrelation,0.2602392191,0.09510966875,0.2284399072,0.202132324,0.2763901782,30
7,48,autocorrelation,0.2591727687,0.09110825426,0.2324483904,0.201859961,0.2789672116,30
7,50,autocorrelation,0.2553822353,0.09283777232,0.2282321694,0.1972382524,0.2798350658,30
7,52,autocorrelation,0.2577425073,0.09248525853,0.2387697272,0.2118821898,0.2733528441,30
7,54,autocorrelation,0.259242973,0.0921425678,0.2451388704,0.1998755337,0.2894660897,30
7,56,autocorrelation,0.258908797,0.09018939956,0.2337575167,0.2033541341,0.2928156707,30
7,58,autocorrelation,0.2628523795,0.08807803322,0.2488937152,0.2015411699,0.2884072868,30
7,60,autocorrelation,0.2630773443,0.0895938597,0.2535809907,0.1996773244,0.28277768,30
7,62,autocorrelation,0.2687283345,0.08907429097,0.2432116673,0.2161453377,0.2937738603,30
7,64,autocorrelation,0.2648229341,0.09107227943,0.2416622085,0.2031469869,0.2921395587,30
7,66,autocorrelation,0.2600078485,0.08809915657,0.2342521768,0.1996593438,0.2852376296,30
7,68,autocorrelation,0.2606008808,0.08873285857,0.2397988596,0.2014488389,0.2846632121,30
7,70,autocorrelation,0.2636683515,0.08445096769,0.247425587,0.2173660422,0.2863800533,30
7,72,autocorrelation,0.2628924496,0.0854253342,0.2394370562,0.2137339112,0.2713920764,30
7,74,autocorrelation,0.2633378614,0.08537987375,0.2376107979,0.2102266123,0.2705880861,30
7,76,autocorrelation,0.262477579,0.08654350227,0.2453526358,0.1977785546,0.2890502134,30
7,78,autocorrelation,0.2572759123,0.08763880453,0.2279073229,0.1967688895,0.286392611,30
7,80,autocorrelation,0.2581767749,0.08932060658,0.2233736326,0.1935398004,0.2949097967,30
7,82,autocorrelation,0.2600820035,0.09035390536,0.2349485824,0.1900895268,0.2979962451,30
7,84,autocorrelation,0.265523217,0.08651713296,0.2563059515,0.2009657468,0.2970659581,30
7,86,autocorrelation,0.2592611397,0.08820167378,0.2351305484,0.1966942834,0.2863297714,30
7,88,autocorrelation,0.2591591105,0.08503150598,0.2324313064,0.2032746507,0.2888826288,30
7,90,autocorrelation,0.259658236,0.08133256231,0.2394486477,0.2102317408,0.293016265,30
7,92,autocorrelation,0.2567232961,0.08172958977,0.234008425,0.1985074345,0.291069912,30
7,94,autocorrelation,0.2593847565,0.07872605552,0.2300473811,0.2056416456,0.304055164,30
7,96,autocorrelation,0.2577549178,0.08102723841,0.2314868739,0.1991586809,0.2957685479,30
7,98,autocorrelation,0.2585025575,0.08132041722,0.2338335682,0.2027580985,0.2861900925,30
7,100,autocorrelation,0.255866663,0.0825289261,0.2448005777,0.1904238756,0.2899856484,30
7,102,autocorrelation,0.2549542684,0.08265740853,0.2369788853,0.2010197645,0.2901068398,30
7,104,autocorrelation,0.2617396218,0.08514127325,0.2419217506,0.2067106011,0.2787423492,30
7,106,autocorrelation,0.2601443247,0.08345538282,0.2406635172,0.2061332459,0.2872396274,30
7,108,autocorrelation,0.2609164069,0.08351459748,0.2487847479,0.2055429505,0.288521091,30
7,110,autocorrelation,0.262683616,0.082403288,0.2374113835,0.2136919377,0.2879617771,30
7,112,autocorrelation,0.2599185474,0.08567604533,0.2358878179,0.2150027069,0.27915709,30
7,114,autocorrelation,0.2566449861,0.08663626112,0.2362949506,0.2033214747,0.2771485455,30
7,116,autocorrelation,0.2588599042,0.08524720328,0.2372417341,0.206290501,0.2745220506,30
7,118,autocorrelation,0.2594931987,0.08603306245,0.2470884191,0.1977663685,0.279745815,30
7,120,autocorrelation,0.2606278548,0.08476426382,0.2514980078,0.1976357167,0.2969120754,30
7,122,autocorrelation,0.2584983098,0.08216582313,0.2268858891,0.2099197564,0.2907737258,30
